archivo,zero_cr,spectral_centroid,spectral_bw,spectral_rf,croma,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,BPM,auto_c,genero
02ARiteOfPassage_02m_00s__03m_00s.mp3,9,2846.255829,2910.081634,5721.470801,0.531231284,-46.96904755,150.5675964,-61.85559845,66.87498474,-8.827961922,24.78797531,-9.484610558,12.99682331,-1.802467227,12.17628765,-0.890435219,7.556058407,1.502530694,0.36754477,2.304684401,-2.528948069,0.988721192,-4.344814777,2.492535591,-4.19392395,107.6660156,0.642654553,1
02Dogs_02m_00s__03m_00s.mp3,2,2307.586534,2679.495132,4556.62733,0.3928231,-141.8315125,165.5412598,-48.77862167,34.84827805,-11.97541618,23.5526104,-6.239134312,6.335145473,-2.509734631,3.263389349,0.303712457,3.786082745,4.669626713,2.990328789,1.340365529,-4.43088007,-2.164881468,-0.68955642,-1.679827213,-7.273778915,112.3471467,0.737668218,1
02Dogs_03m_00s__04m_00s.mp3,8,2042.876714,2417.457609,3854.634988,0.360986024,-203.3731384,166.8499146,-37.59676361,25.91215134,-1.398158312,14.01468754,-0.652487457,0.921932995,-2.369609833,-2.518010855,-0.693631887,5.219949245,5.991530895,5.848761082,2.677108049,-0.418025047,-1.81205225,-2.615754366,-3.84142971,-6.433893681,114.84375,0.625766633,1
02DrumheadTrial_02m_00s__03m_00s.mp3,2,3215.189737,3375.188283,6646.470899,0.493472189,-26.62094879,136.2593689,-56.45301819,53.48799515,-16.33119965,35.07776642,-14.39374542,25.57325935,-6.51553297,13.32810402,-0.989150763,1.005215049,-0.983943701,3.045077085,4.185600758,-0.51703465,3.006822348,-2.358450651,5.391030788,-3.194414377,123.046875,0.75175059,1
02Eulogy_02m_00s__03m_00s.mp3,4,2491.413848,2964.743049,5149.461045,0.530565023,-135.2631226,134.9375916,-32.88267899,41.35813522,17.48389435,17.88590622,5.705681801,25.00958061,1.795051694,13.8326807,4.302555561,4.238019466,-0.673915207,2.43707633,-2.0025177,-2.659678936,-2.06206274,-3.336707354,-2.140525818,-5.690158844,109.9567819,0.433106474,1
02FrameByFrame_02m_00s__03m_00s.mp3,4,1792.391811,2032.508439,3663.383531,0.468638062,-205.4732208,186.0894318,-48.28585434,36.05259705,5.335793495,0.4854922,7.089793205,-0.421628088,3.97910285,-4.873100281,-3.897820473,-2.196651697,-1.896746159,-2.067541361,-0.842873275,-0.696367741,-7.498889923,-0.890843511,-0.151155964,-7.578480721,156.6051136,0.590134448,1
02GuerillaLaments_02m_00s__03m_00s.mp3,2,3312.516853,3532.125989,7182.158492,0.534841776,-31.60173035,132.9092407,-48.96968079,49.22610092,-15.88172436,42.93978882,-14.18704319,24.92007065,-4.87687254,9.837111473,-2.207422018,9.929746628,1.182569027,-1.280529261,2.399189711,0.588517666,3.94212985,-4.032375336,3.539424419,-4.819091797,123.046875,0.622772236,1
02Hair-Trigger_02m_00s__03m_00s.mp3,7,3432.072741,3531.165359,7203.737519,0.553828537,-51.795681,126.2617035,-47.68686676,61.16063309,-7.095320225,31.51841164,-13.66306686,23.03672981,-7.486311913,16.68962479,-0.968884826,8.509636879,-0.286843121,2.872759819,3.8193717,-5.501675129,1.428724289,-5.687329292,1.58322072,-7.094004154,143.5546875,0.672686949,1
02Heartbeat_02m_00s__03m_00s.mp3,0,2386.122327,2756.095172,5021.198038,0.378201127,-218.3017578,151.6344604,-17.5262146,47.79973602,-12.29189968,16.79040527,-2.728883743,2.964617014,0.604754508,2.657741547,-6.323970318,6.670248508,-0.673443079,0.975850224,2.481493235,-6.210963249,1.152713656,-2.532746077,-1.021433473,-5.370959282,126.0480183,0.583157514,1
02Heroines_02m_00s__03m_00s.mp3,12,2660.198541,3028.794116,5547.622158,0.485052228,-90.01673126,149.4998322,-36.27576828,42.4957695,-7.8106637,29.92144966,-10.01990986,12.6169157,-3.652520657,9.372947693,0.963819027,8.226547241,4.488975525,1.247400045,1.858748555,-0.851508677,-1.78234899,-7.362371445,2.293041706,-3.96250248,126.0480183,0.533930159,1
02Jambi_02m_00s__03m_00s.mp3,10,2507.343959,2891.482037,5159.736079,0.620148897,-100.1032715,146.288269,-51.99093628,42.43676376,14.2368269,35.9370842,-3.196622372,16.97649384,4.108364105,16.94249535,6.395913124,7.436348915,4.626207352,5.278288841,4.242622375,-0.821441829,-1.210403919,-3.108054399,3.406462908,-5.14802742,107.6660156,0.559756413,1
03H_02m_00s__03m_00s.mp3,3,2125.56595,2784.618448,4510.833212,0.558692455,-167.1230316,150.0501862,-30.07351494,54.91355896,18.76916122,28.61783981,-1.053772092,16.70333099,3.826384306,9.664657593,0.479769915,7.279551029,0.911437452,1.665230393,2.792460918,-1.933947206,1.196196079,-2.303461313,-1.034353733,-4.800433636,99.38401442,0.497579436,1
03KevlarSweethearts_02m_00s__03m_00s.mp3,5,2897.497826,3422.465613,6527.501627,0.523259819,-69.82416534,137.5441437,-32.17020798,54.67555237,-8.9308424,42.62018204,-6.681128025,19.16110802,-1.777941346,10.14412308,1.982361078,1.14563179,-2.440480232,-4.179431438,1.841374397,0.336389601,5.041775227,-3.054347754,1.859703302,-4.139667511,126.0480183,0.608049771,1
03OnTheRun_02m_00s__03m_00s.mp3,5,1805.27095,3048.512221,3493.813377,0.529465795,-216.2533875,169.6480255,25.49068832,23.43331337,2.325880527,21.61806488,-3.396211147,14.87291145,-6.87003994,8.277432442,-2.373700142,3.334120512,-1.259881973,4.139238358,-0.476748139,-0.232481793,0.431285322,-0.070448801,0.365484565,-2.22934413,166.7086694,0.500563451,1
03Pigs(ThreeDifferentOnes)_02m_00s__03m_00s.mp3,4,1777.036065,2031.846818,3134.099601,0.429379821,-207.7112885,175.3494568,-38.54976654,3.453288555,0.029369423,8.175263405,6.850403309,9.736458778,5.695606232,2.022060871,7.318466187,9.874544144,8.053279877,2.479024649,-1.244981408,-1.266667128,-0.55061537,-1.499187589,-2.257436991,-3.421131372,126.0480183,0.421972435,1
03Pigs(ThreeDifferentOnes)_03m_00s__04m_00s.mp3,7,1868.308034,2032.219549,3384.61326,0.42295602,-187.2355957,180.0860901,-46.18270493,14.57140446,0.776826084,6.17421484,5.543803692,4.853572845,4.989403725,1.568770409,4.62368536,7.575278282,6.606795311,1.023769379,-2.809807062,-1.259918571,-0.771735072,-1.160635829,-1.358131886,-3.765086174,129.1992188,0.573936275,1
03PoeticPitbullRevolutions_02m_00s__03m_00s.mp3,2,3402.648542,3429.830021,7105.398809,0.51114136,-53.34841537,129.3321686,-51.54436493,57.34347916,-13.87847614,35.88978958,-17.79148865,17.75036812,-2.787753344,14.58313847,-2.04658699,10.55195808,5.980267525,4.301899433,3.005275488,0.926375926,2.922513247,-6.579066753,2.475902796,-7.54838562,135.9991776,0.675308192,1
03Sleepless_02m_00s__03m_00s.mp3,4,2342.906023,2771.721381,5072.554456,0.533598006,-167.7311859,155.0696411,-33.82979584,42.37945175,-1.398745775,21.36473274,-1.584605813,12.49420547,5.013366222,0.218213752,1.388092995,7.956895351,4.939585686,0.740033507,6.143629551,2.907376289,4.21584034,4.452284813,6.074625969,-2.693533421,132.5120192,0.5459665,1
03TakeaFriend_02m_00s__03m_00s.mp3,3,2981.812226,3517.346169,6476.041062,0.499779701,-83.33296967,139.6628418,-29.77940559,47.70973206,-2.192245007,28.20823669,-14.81692886,18.07741737,-10.09899807,10.66828537,1.528217435,7.656288624,-6.428659916,0.035980348,-1.43040359,-7.102278233,-0.123165004,-2.343607903,-0.892429173,-5.712354183,126.0480183,0.702026451,1
03Tandem_02m_00s__03m_00s.mp3,7,3354.309483,3504.496655,7045.300942,0.555797458,-43.40584946,126.121994,-45.97903442,67.32807159,-10.20360374,28.05623627,-13.19938087,22.49980736,-4.032993793,18.73110008,1.584013939,10.17086124,2.690038681,4.339613438,3.185012341,-5.508703232,-0.216937974,-8.121753693,2.781256437,-5.20320034,143.5546875,0.69601472,1
03ThePatient_02m_00s__03m_00s.mp3,1,2966.172313,3205.171627,6025.512832,0.622949362,-131.6621246,129.0955963,-46.61743546,51.19275665,12.64283276,30.10805321,-6.628908634,19.08610916,1.651512742,12.78345776,0.113056242,8.198896408,1.61920774,3.617048025,2.319994211,0.063128568,-0.677922726,-1.176790714,0.87153542,-6.746836662,109.9567819,0.60022276,1
03TiltingAgainstWindmills_02m_00s__03m_00s.mp3,6,3029.34132,3248.401899,6129.172778,0.445255309,-23.5351944,144.7813873,-60.36277008,46.78389359,-15.70768833,32.47382736,-16.13456154,25.10905838,-6.520853043,18.66978836,2.410061836,5.170835018,1.95179832,3.111118555,4.759290695,-1.721469641,1.572387099,-2.185172319,4.654661655,-3.018926382,120.1853198,0.745518989,1
03WingsForMarie(Part1)_02m_00s__03m_00s.mp3,2,1295.01524,2092.004923,2456.018244,0.510441184,-174.1965179,201.3560944,-11.70392227,22.20796585,11.63267517,18.72386551,-4.940495491,10.75785828,4.985311508,6.559873104,4.640985012,-0.929131508,2.434301138,4.532247066,4.156713486,-1.65306437,-2.926804543,-2.167049408,-2.901065111,-9.23267746,123.046875,0.690547706,1
03YYZ_02m_00s__03m_00s.mp3,4,3013.448599,3012.383176,6044.646205,0.449214488,-166.4044647,143.6143341,-53.19857025,50.19023132,-12.94456768,21.76296616,-10.87813473,16.10997581,-7.141483307,10.4834013,-1.316808462,-0.141881302,1.004208803,0.355249584,2.527794123,-4.734236717,0.599189341,-3.489005804,6.48654604,-3.283215523,139.6748311,0.511532626,1
04-IsMyFaceOnStraight_02m_00s__03m_00s.mp3,12,3537.870331,3516.712842,7407.804836,0.503303111,-119.2980652,116.8766785,-41.75994492,50.92282104,-15.87037563,35.33515167,-2.728626013,21.92943192,1.133183479,10.98288631,-3.562197208,3.613419771,3.195214033,-0.994915962,1.783024549,-3.686766863,-0.869821072,-3.202887535,3.367216587,-2.490028143,143.5546875,0.594255174,1
"0410,000Days(WingsPart2)_02m_00s__03m_00s.mp3",0,1855.65685,3017.427392,4454.465522,0.618231952,-183.9707184,146.4692993,2.465807199,55.32184219,8.648721695,34.79457092,4.035831928,16.08808327,3.26800108,9.561180115,7.805338383,4.118221283,3.845640421,4.508998871,4.778729916,-2.987806082,-1.777079463,-1.900439024,2.546927929,-4.722480774,117.4538352,0.765993524,1
04Moonlight_02m_00s__03m_00s.mp3,3,3096.006996,3382.38735,6595.050647,0.572333276,-52.27410889,134.5098419,-43.1412735,64.13422394,-8.007089615,30.78079605,-9.385836601,22.24954224,-4.230717182,13.94524002,0.668644309,7.75057745,1.518114328,2.067343235,3.68511796,-4.840752125,3.033557892,-3.817012787,3.130228043,-5.434551239,109.9567819,0.652362037,1
04RagdollPhysics_02m_00s__03m_00s.mp3,2,2035.335946,2328.076682,4061.486634,0.479002714,-188.7619629,155.502594,-34.3248024,28.51567078,14.95406246,10.60764217,0.747045457,12.22358704,-0.278003395,4.769342422,2.431777477,3.548788309,2.747096539,0.192647383,1.892559171,1.118931651,-1.078301787,-2.885293722,-1.076065302,-3.311403036,139.6748311,0.528015698,1
04Sheep_02m_00s__03m_00s.mp3,7,2166.097581,2449.305403,4100.660894,0.443424106,-142.4670868,171.057724,-52.93068695,27.40709686,-4.325692177,17.3003006,-5.208674431,5.584327698,0.579474032,6.776368141,4.932823658,1.687743187,2.100073099,-0.239244923,-1.227194428,-4.270116806,-3.536350727,-3.055164814,-3.310888767,-6.807429314,129.1992188,0.670055427,1
